DoctorID,Name,Specialization
1,Doctor_1,Pediatrics
2,Doctor_2,Oncology
3,Doctor_3,Orthopedics
4,Doctor_4,Oncology
5,Doctor_5,Oncology
6,Doctor_6,Neurology
7,Doctor_7,Orthopedics
8,Doctor_8,Orthopedics
9,Doctor_9,Orthopedics
10,Doctor_10,Oncology
11,Doctor_11,Pediatrics
12,Doctor_12,Orthopedics
13,Doctor_13,Oncology
14,Doctor_14,Neurology
15,Doctor_15,Pediatrics
16,Doctor_16,Neurology
17,Doctor_17,Pediatrics
18,Doctor_18,Oncology
19,Doctor_19,Cardiology
20,Doctor_20,Pediatrics
21,Doctor_21,Neurology
22,Doctor_22,Oncology
23,Doctor_23,Pediatrics
24,Doctor_24,Cardiology
25,Doctor_25,Cardiology
26,Doctor_26,Orthopedics
27,Doctor_27,Orthopedics
28,Doctor_28,Neurology
29,Doctor_29,Pediatrics
30,Doctor_30,Pediatrics
31,Doctor_31,Orthopedics
32,Doctor_32,Pediatrics
33,Doctor_33,Pediatrics
34,Doctor_34,Cardiology
35,Doctor_35,Orthopedics
36,Doctor_36,Oncology
37,Doctor_37,Orthopedics
38,Doctor_38,Oncology
39,Doctor_39,Cardiology
40,Doctor_40,Neurology
41,Doctor_41,Pediatrics
42,Doctor_42,Cardiology
43,Doctor_43,Pediatrics
44,Doctor_44,Neurology
45,Doctor_45,Neurology
46,Doctor_46,Cardiology
47,Doctor_47,Neurology
48,Doctor_48,Oncology
49,Doctor_49,Neurology
50,Doctor_50,Pediatrics
